symbol,expiration,strike,right,timestamp,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price
SPY,20190111,258.5,CALL,2019-01-11T14:52:00,0.31,0.34,0.5281,-3.1068,1.1703,0.0176,-0.0176,427.5282,0.5412,-0.1077,100.7306,0.0223,0.0,0.0,0.0,0.0,0.0,-0.2679,0.0705,0.0676,-0.5269,0.0,0.25,-0.0019,2019-01-11T14:52:00,258.55
SPY,20190111,258.5,CALL,2019-01-11T14:53:00,0.31,0.33,0.5222,-3.2179,1.1627,0.0171,-0.0172,422.0891,0.5312,-0.0821,79.4444,0.0133,0.0,0.0,0.0,0.0,0.0,-0.1564,0.0558,0.0529,-0.5211,0.0,0.2568,-0.0002,2019-01-11T14:53:00,258.54
SPY,20190111,258.5,CALL,2019-01-11T14:54:00,0.26,0.29,0.4689,-3.2475,1.1518,0.0151,-0.0152,450.1825,0.5327,0.1245,-131.1996,0.028,0.0001,0.0,0.0,0.0,0.0,-0.3263,-0.0778,-0.0807,-0.4678,0.0,0.2578,-0.0028,2019-01-11T14:54:00,258.44
SPY,20190111,258.5,CALL,2019-01-11T14:55:00,0.22,0.24,0.4134,-3.3237,1.119,0.0131,-0.0132,465.3249,0.5067,0.3225,-352.0957,0.2025,0.0003,0.0,0.0,0.0,0.0,-2.2343,-0.2185,-0.2215,-0.4123,0.0,0.2675,-0.0019,2019-01-11T14:55:00,258.33
SPY,20190111,258.5,CALL,2019-01-11T14:56:00,0.22,0.24,0.4134,-3.3738,1.1103,0.0129,-0.013,465.5725,0.5069,0.3203,-357.7322,0.1997,0.0003,0.0,0.0,0.0,0.0,-2.1874,-0.2187,-0.2216,-0.4122,0.0,0.2695,-0.0026,2019-01-11T14:56:00,258.33
SPY,20190111,258.5,CALL,2019-01-11T14:57:00,0.2,0.21,0.392,-3.1841,1.0866,0.0121,-0.0121,506.3548,0.531,0.4155,-446.7928,0.3218,0.0003,0.0,0.0,0.0,0.0,-3.6782,-0.2738,-0.2766,-0.391,0.0,0.2558,0.0,2019-01-11T14:57:00,258.3
SPY,20190111,258.5,CALL,2019-01-11T14:58:00,0.21,0.23,0.4031,-3.4556,1.0861,0.0122,-0.0122,471.7005,0.5046,0.3512,-410.2829,0.2415,0.0003,0.0,0.0,0.0,0.0,-2.597,-0.2451,-0.2481,-0.402,0.0,0.2734,0.0035,2019-01-11T14:58:00,258.31
SPY,20190111,258.5,CALL,2019-01-11T14:59:00,0.2,0.21,0.3708,-3.4958,1.0511,0.011,-0.0111,479.6582,0.4828,0.4469,-544.6043,0.4099,0.0003,0.0,0.0,0.0,0.0,-4.2132,-0.3296,-0.3327,-0.3696,0.0,0.2812,-0.0017,2019-01-11T14:59:00,258.24
SPY,20190111,258.5,CALL,2019-01-11T15:00:00,0.21,0.23,0.385,-3.7394,1.0547,0.0113,-0.0113,453.8535,0.4697,0.3829,-497.6424,0.3089,0.0003,0.0,0.0,0.0,0.0,-3.0521,-0.2923,-0.2954,-0.3838,0.0,0.2949,-0.0041,2019-01-11T15:00:00,258.26
SPY,20190111,258.5,CALL,2019-01-11T15:01:00,0.22,0.23,0.3923,-3.6854,1.0605,0.0115,-0.0115,459.2098,0.4817,0.3674,-468.1636,0.277,0.0003,0.0,0.0,0.0,0.0,-2.8029,-0.2732,-0.2763,-0.3911,0.0,0.289,0.003,2019-01-11T15:01:00,258.28
SPY,20190111,258.5,CALL,2019-01-11T15:02:00,0.23,0.24,0.4062,-3.695,1.0704,0.0119,-0.0119,455.1168,0.4894,0.3246,-411.3384,0.2126,0.0002,0.0,0.0,0.0,0.0,-2.1793,-0.2372,-0.2403,-0.405,0.0,0.2871,0.0024,2019-01-11T15:02:00,258.31
SPY,20190111,258.5,CALL,2019-01-11T15:03:00,0.21,0.22,0.3819,-3.6318,1.0522,0.0112,-0.0112,467.8099,0.4813,0.403,-509.8259,0.334,0.0003,0.0,0.0,0.0,0.0,-3.3844,-0.3003,-0.3034,-0.3807,0.0,0.2871,0.004,2019-01-11T15:03:00,258.26
SPY,20190111,258.5,CALL,2019-01-11T15:04:00,0.21,0.23,0.3818,-3.7794,1.0521,0.0112,-0.0112,449.5403,0.4624,0.3876,-510.2601,0.3215,0.0003,0.0,0.0,0.0,0.0,-3.1296,-0.3005,-0.3037,-0.3806,0.0,0.2988,-0.0028,2019-01-11T15:04:00,258.25
SPY,20190111,258.5,CALL,2019-01-11T15:05:00,0.2,0.22,0.3718,-3.7233,1.0433,0.0109,-0.0109,457.6919,0.4617,0.4206,-549.786,0.3794,0.0003,0.0,0.0,0.0,0.0,-3.6968,-0.327,-0.3301,-0.3706,0.0,0.2968,-0.001,2019-01-11T15:05:00,258.23
SPY,20190111,258.5,CALL,2019-01-11T15:06:00,0.22,0.24,0.4062,-3.695,1.0704,0.0119,-0.0119,455.1168,0.4894,0.3246,-411.3384,0.2126,0.0002,0.0,0.0,0.0,0.0,-2.1793,-0.2372,-0.2403,-0.405,0.0,0.2871,0.0024,2019-01-11T15:06:00,258.31
SPY,20190111,258.5,CALL,2019-01-11T15:07:00,0.26,0.28,0.4642,-3.6335,1.0971,0.0136,-0.0136,444.3772,0.5225,0.1335,-164.3788,0.033,0.0001,0.0,0.0,0.0,0.0,-0.3592,-0.0896,-0.0925,-0.4631,0.0,0.2753,0.0,2019-01-11T15:07:00,258.43
SPY,20190111,258.5,CALL,2019-01-11T15:08:00,0.27,0.28,0.469,-3.5859,1.0982,0.0138,-0.0138,448.3348,0.5305,0.1179,-143.5985,0.0252,0.0001,0.0,0.0,0.0,0.0,-0.279,-0.0776,-0.0805,-0.4679,0.0,0.2714,0.0014,2019-01-11T15:08:00,258.44
SPY,20190111,258.5,CALL,2019-01-11T15:09:00,0.34,0.38,0.5588,-3.587,1.0902,0.0164,-0.0164,401.5213,0.5222,-0.2094,247.5342,0.0856,0.0,0.0,0.0,0.0,0.0,-0.933,0.148,0.1451,-0.5576,0.0,0.2734,-0.0001,2019-01-11T15:09:00,258.61
SPY,20190111,258.5,CALL,2019-01-11T15:10:00,0.29,0.31,0.5063,-3.5462,1.1017,0.0149,-0.0149,436.0037,0.5397,-0.0194,19.462,0.0008,0.0,0.0,0.0,0.0,0.0,-0.0097,0.0159,0.013,-0.5052,0.0,0.2675,0.0007,2019-01-11T15:10:00,258.51
SPY,20190111,258.5,CALL,2019-01-11T15:11:00,0.29,0.31,0.5119,-3.4808,1.1014,0.015,-0.0151,441.2601,0.5495,-0.0411,43.9808,0.0034,0.0,0.0,0.0,0.0,0.0,-0.039,0.0299,0.0271,-0.5108,0.0,0.2626,-0.0002,2019-01-11T15:11:00,258.52
SPY,20190111,258.5,CALL,2019-01-11T15:12:00,0.31,0.33,0.534,-3.4577,1.098,0.0157,-0.0157,431.7884,0.5497,-0.1254,140.3499,0.0295,0.0,0.0,0.0,0.0,0.0,-0.3384,0.0853,0.0825,-0.5329,0.0,0.2617,-0.0006,2019-01-11T15:12:00,258.56
SPY,20190111,258.5,CALL,2019-01-11T15:13:00,0.33,0.35,0.5497,-3.4953,1.0936,0.0161,-0.0162,417.7329,0.5393,-0.1821,208.5154,0.0629,0.0,0.0,0.0,0.0,0.0,-0.707,0.125,0.1222,-0.5486,0.0,0.2656,0.0009,2019-01-11T15:13:00,258.59
SPY,20190111,258.5,CALL,2019-01-11T15:14:00,0.29,0.31,0.5063,-3.5462,1.1017,0.0149,-0.0149,436.0037,0.5397,-0.0194,19.462,0.0008,0.0,0.0,0.0,0.0,0.0,-0.0097,0.0159,0.013,-0.5052,0.0,0.2675,0.0007,2019-01-11T15:14:00,258.51
SPY,20190111,258.5,CALL,2019-01-11T15:15:00,0.25,0.28,0.4729,-3.4083,1.099,0.0139,-0.0139,469.9952,0.559,0.109,-126.5711,0.0204,0.0001,0.0,0.0,0.0,0.0,-0.2373,-0.0678,-0.0706,-0.4718,0.0,0.2578,0.0002,2019-01-11T15:15:00,258.45
